,Wilcoxon-CLR,MaAsLin2,ALDEx2,LinDA,ANCOMBC,LOCOM,ZicoSeq,ADAPT
B.ovatus,0.00149795541141702,2.85597877017538e-16,0.0035734414957007,0.0078126946548158,0.348983493480242,0.00166500166500167,0.000841750841750842,0.00238868400199303
K.oxytoca,0.0148012869716999,3.25814319215324e-12,0.0318313477930971,0.000287648766322401,0.07642970445669,0.00166500166500167,0.0303030303030303,0.809345593488439
A.muciniphila,0.184117012976696,3.77997960768807e-07,0.370289256369689,0.0432481675275264,0.357328227259633,0.0128442985585843,0.464646464646465,1.27675647831893e-14
B.fragilis,0.000312292087408809,2.22731500868163e-06,0.000538612621195893,3.35825125732271e-06,0.00486952082857318,0.00166500166500167,0.000841750841750842,0.000840947515770685
E.coli,1.08961423622154e-10,1.56925466596706e-05,2.70770367932771e-10,2.58054814702862e-11,5.733128965261e-06,0.00166500166500167,0.000841750841750842,0
B.vulgatus,0.102379593876196,0.00201257343615582,0.184153532901436,0.995627205123767,0.892557340737848,0.00166500166500167,0.104377104377104,0.000629509834390585
P.mirabilis,0.151663735965965,0.0569243696012577,0.323839721561228,0.995627205123767,0.962094038083547,0.0689310689310689,0.000841750841750842,4.9960036108132e-13
E.faecalis,7.80143359844366e-14,0.0779046038612508,1.16516928111818e-13,1.73935520508065e-19,1.2013523233578e-13,0.00166500166500167,0.000841750841750842,0.403612382345774
C.sporogenes,0.00412438274407531,0.345990090498402,0.00651739450292255,0.0025355511115288,0.111919878162461,0.0677100677100677,0.000841750841750842,0.0469395963588128
P.distasonis,0.20673488459215,0.952790502773623,0.495573194676431,0.0780813998874175,0.269068255317362,0.0137362637362637,0.00432900432900433,0.0692834598242936
