,Wilcoxon-CLR,MaAsLin2,ALDEx2,LinDA,ANCOMBC,LOCOM,ZicoSeq,ADAPT
B.ovatus,0.00549144870709122,3.83631182272633e-46,0.0161498865903968,0.00689293231718254,0.0209469517761736,0.0185528756957328,0.000841750841750842,0.00238868400199303
K.oxytoca,0.0754956383793938,1.03764179086869e-16,0.204033639674213,0.0308742317922112,0.793791362443471,0.576090576090576,0.402020202020202,0.809345593488439
A.muciniphila,4.43081562433132e-17,1.20445147846714e-10,1.73472347597681e-17,7.42863233996536e-18,5.04757916281705e-14,0.001998001998002,0.000841750841750842,1.27675647831893e-14
B.fragilis,0.000305166738980291,7.76661287095555e-06,0.000610739114846729,2.10249764750473e-05,0.0209469517761736,0.001998001998002,0.000841750841750842,0.000840947515770685
E.coli,1.05510939372807e-22,0.000553631800335119,1.08544341591048e-22,5.27215486672192e-45,7.66760399512012e-38,0.001998001998002,0.000841750841750842,0
B.vulgatus,0.000305166738980291,0.00255989937387828,0.000623080113662082,0.00186562981627886,0.00411440848805362,0.822177822177822,0.000841750841750842,0.000629509834390585
P.mirabilis,8.0118226087096e-12,0.00568138156432265,2.06458634910422e-11,3.4840461857951e-12,4.8665313830477e-09,0.001998001998002,0.000841750841750842,4.9960036108132e-13
E.faecalis,0.808688206293111,0.128494170820876,1,0.649851017865573,0.808091298885423,0.515734265734266,0.108866442199776,0.403612382345774
C.sporogenes,2.79358037431196e-06,0.159568208411288,8.12891754271824e-06,0.00181798335284427,0.0399445246663655,0.001998001998002,0.00721500721500722,0.0469395963588128
P.distasonis,0.0457001936131662,0.999286922761975,0.855186239467011,0.278533062872011,0.278780904923794,0.014985014985015,0.023989898989899,0.0692834598242936
