,AUPR_T4F1,FDR_T4F1,AUPR_B40-8VD13,FDR_B40-8VD13
ADMIC,0.916666667,0.333333333,1,0
ADMIC-Basic,0.821428571,0.714285714,0.916666667,0.333333333
ANCOMBC,0.821428571,0.714285714,0.916666667,0.333333333
MaAsLin2,0.821428571,0.714285714,0.875,0.5
Wilcoxon-CLR,0.625,0.5,0.916666667,0.333333333
ALDEx2,0.625,0.5,0.916666667,0.333333333
LinDA,0.6,0.6,0.916666667,0.333333333
LOCOM,0.7,0.6,0.666666667,0.666666667
ADAPT,0.821428571,0.714285714,0.541666667,0.5
ZicoSeq,0.404761905,0.714285714,0.666666667,0.666666667
