"","x"
"s__Abiotrophia_defectiva",6.61174367511988e-07
"s__Acidaminococcus_fermentans",0.000116495057990041
"s__Acidaminococcus_intestini",6.4505671330324e-05
"s__Actinomyces_graevenitzii",2.2810555159132e-05
"s__Actinomyces_odontolyticus",1.77112718873015e-05
"s__Actinomyces_oris",1.02085039756167e-06
"s__Actinomyces_turicensis",3.69919700769589e-05
"s__Actinomyces_viscosus",1.50735961623084e-06
"s__Adlercreutzia_equolifaciens",0.000606845958430924
"s__Aggregatibacter_segnis",2.00279049020903e-05
"s__Akkermansia_muciniphila",0.0136899911134354
"s__Alistipes_finegoldii",0.00338805205927579
"s__Alistipes_indistinctus",0.00155088110375284
"s__Alistipes_onderdonkii",0.00752502714152286
"s__Alistipes_putredinis",0.0325057617973323
"s__Alistipes_senegalensis",0.000615938591708518
"s__Alistipes_shahii",0.00876903425869764
"s__Alistipes_sp_AP11",0.00115011213669307
"s__Alistipes_sp_HGB5",0.000671822799001025
"s__Alloscardovia_omnicolens",5.48183696134315e-06
"s__Anaerococcus_obesiensis",3.78958920864321e-06
"s__Anaerococcus_vaginalis",9.75594952585683e-06
"s__Anaerofustis_stercorihominis",4.47681596314938e-06
"s__Anaeroglobus_geminatus",2.72524793983315e-07
"s__Anaerostipes_caccae",1.00690061802927e-05
"s__Anaerostipes_hadrus",0.0019281713936847
"s__Anaerotruncus_colihominis",0.000112714977247431
"s__Atopobium_parvulum",3.14985276288973e-06
"s__Atopobium_rimae",2.70339343044684e-06
"s__Atopobium_vaginae",3.49962526899638e-06
"s__Bacteroidales_bacterium_ph8",0.00553235823165413
"s__Bacteroides_caccae",0.0151907028852444
"s__Bacteroides_cellulosilyticus",0.00835200779056532
"s__Bacteroides_clarus",0.00141183152157967
"s__Bacteroides_coprocola",0.0106166497692768
"s__Bacteroides_coprophilus",0.00248511048507021
"s__Bacteroides_dorei",0.0183534867885529
"s__Bacteroides_eggerthii",0.0115453371733872
"s__Bacteroides_faecis",0.00290021885561919
"s__Bacteroides_finegoldii",0.00414937322265857
"s__Bacteroides_fragilis",0.00450618711293119
"s__Bacteroides_intestinalis",0.00279427875670148
"s__Bacteroides_massiliensis",0.019359493117741
"s__Bacteroides_nordii",0.000196763527382883
"s__Bacteroides_oleiciplenus",2.01993914332461e-05
"s__Bacteroides_ovatus",0.018209665117195
"s__Bacteroides_pectinophilus",0.0012365232160044
"s__Bacteroides_plebeius",0.0113113478389398
"s__Bacteroides_salyersiae",0.00314095935661437
"s__Bacteroides_sp_2_1_22",0.00178398848822212
"s__Bacteroides_sp_3_1_19",0.000433379033667682
"s__Bacteroides_sp_4_3_47FAA",0.00134995548077109
"s__Bacteroides_stercoris",0.0266714576037022
"s__Bacteroides_thetaiotaomicron",0.00893689938856967
"s__Bacteroides_uniformis",0.0390193522810309
"s__Bacteroides_vulgatus",0.0357284645077757
"s__Bacteroides_xylanisolvens",0.00326359710227273
"s__Barnesiella_intestinihominis",0.0128275286443508
"s__Bifidobacterium_adolescentis",0.0330681444413672
"s__Bifidobacterium_angulatum",0.00240132113018787
"s__Bifidobacterium_animalis",0.000543073444132269
"s__Bifidobacterium_bifidum",0.00445670762111995
"s__Bifidobacterium_breve",0.000165706771574101
"s__Bifidobacterium_catenulatum",0.00238473558874485
"s__Bifidobacterium_dentium",8.62359507110611e-05
"s__Bifidobacterium_longum",0.0168975913477264
"s__Bifidobacterium_pseudocatenulatum",0.00339321810239748
"s__Bilophila_wadsworthia",0.000234758568440046
"s__Blautia_hansenii",1.18022217271396e-06
"s__Blautia_hydrogenotrophica",8.27624474996877e-05
"s__Blautia_producta",4.28850117138038e-05
"s__Burkholderiales_bacterium_1_1_47",0.000568742219057379
"s__Butyricicoccus_pullicaecorum",3.11784553023183e-05
"s__Butyricimonas_synergistica",2.35586535198418e-05
"s__Butyrivibrio_crossotus",0.0095676216357222
"s__Campylobacter_hominis",1.75714741831517e-05
"s__candidate_division_TM7_single_cell_isolate_TM7b",1.05261129194528e-06
"s__candidate_division_TM7_single_cell_isolate_TM7c",2.69240939153625e-06
"s__Catenibacterium_mitsuokai",0.00354090972142261
"s__Citrobacter_freundii",0.00010198677895765
"s__Clostridiaceae_bacterium_JC118",7.0295128109766e-05
